"","phylum","TFZ002_8073","TFZ002_8070","TFZ002_8004","TFZ002_8003","TFZ002_8001","TFZ002_8000","Stahl_21","Stahl_20","Stahl_19","Stahl_18","Stahl_17","Stahl_16","Stahl_15","Stahl_14","Stahl_13","Stahl_12","Stahl_11","Stahl_10","Stahl_09","Stahl_08","Stahl_07","Stahl_06","Stahl_05","Stahl_04","Stahl_03","Stahl_02","Stahl_01","RS0001_1223","RS0001_1222","RS0001_1221","RS0001_1218","RS0001_1206","RS0001_1197","RS0001_1196","RS0001_1181","RS0001_1180","RS0001_1173","RS0001_1171","HG0155_0057","HG0155_0056","HG0155_0055","HG0155_0049","HG0155_0048","HG0155_0047","HG0001_9881","HG0001_9880","HG0001_9879","HG0001_9878","HG0001_9877","HG0001_9876","Geiger_10","Geiger_09","Geiger_08","Geiger_07","Geiger_06","Geiger_05","Geiger_02","Geiger_01"
"Candidatus.Spechtbacteria","Candidatus.Spechtbacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Staskawiczbacteria","Candidatus.Staskawiczbacteria",48,24,NA,30,31,NA,32,NA,NA,NA,NA,29,59,33,24,34,NA,NA,NA,NA,NA,NA,NA,106,34,NA,NA,39,NA,29,41,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Sumerlaeota","Candidatus.Sumerlaeota",39,NA,NA,NA,NA,NA,35,53,NA,33,51,40,86,41,49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,30,NA,NA,28,NA,NA,NA,35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Sungbacteria","Candidatus.Sungbacteria",38,35,25,NA,39,NA,37,NA,NA,NA,25,43,51,NA,37,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,31,NA,27,NA,33,42,NA,54,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Tagabacteria","Candidatus.Tagabacteria",24,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,31,35,NA,75,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Taylorbacteria","Candidatus.Taylorbacteria",84,26,95,NA,51,26,41,NA,31,NA,26,73,94,47,54,NA,55,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,40,NA,70,46,51,52,32,43,62,46,43,NA,43,25,NA,NA,24,NA,NA,47,NA,39,42,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Tectomicrobia","Candidatus.Tectomicrobia",297,118,176,70,166,108,142,63,116,46,82,153,218,178,126,166,149,NA,43,46,104,51,107,34,105,80,NA,82,110,123,235,136,129,64,100,68,187,130,66,99,70,33,NA,68,49,60,66,48,68,64,37,NA,NA,28,31,NA,NA,52
"Candidatus.Terrybacteria","Candidatus.Terrybacteria",26,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Candidatus.Uhrbacteria","Candidatus.Uhrbacteria",215,85,153,70,83,88,194,61,82,49,73,138,170,86,119,91,129,NA,98,135,118,93,83,136,138,36,NA,95,78,160,115,109,197,170,63,41,187,187,300,236,167,163,202,170,48,49,55,64,66,71,108,NA,43,65,NA,33,NA,36
"Candidatus.Veblenbacteria","Candidatus.Veblenbacteria",NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,45,77,89,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
